,Headline,Date
74,                                                           Bristol Stock Is Too Cheap. Why It Could Be Ready to Rally.                          ,2021-12-05 20:57:00
75,"                                                           A New Study Finds That Most Covid-19 Boosters Strengthen Immunity, but There Is No Winning Shot                          ",2021-12-04 04:00:00
76,                                                           Pfizer Inc. stock outperforms competitors on strong trading day                          ,2021-12-03 17:15:00
77,"                                                           WHO has not seen any reports of deaths caused by omicron variant, urges people not to panic as delta still dominant                          ",2021-12-03 14:42:00
78,                                                           Canada Immunization Panel Urges Covid-19 Booster Shots for 50-Plus Population                          ,2021-12-03 11:32:00
79,                                                           Valneva Tumbles After Its Covid-19 Vaccine Fails to Meet Some Criteria in Booster Shot Study                          ,2021-12-03 10:20:00
160,"                                                           Pfizer Inc. stock falls Thursday, underperforms market                          ",2021-12-02 17:15:00
161,                                                           Fauci says changing fully vaccinated definition to include boosters ‘on the table’                          ,2021-12-02 15:42:00
162,                                                           Biden Releases New Measures to Combat Winter Surge of Covid                          ,2021-12-02 09:59:00
163,                                                           Moderna’s Patent Issues Highlight Uncertainty for a Vaccine Star                          ,2021-12-02 09:53:00
164,"                                                           Glaxo, Vir Antibody Drug Works Against Omicron, Tests Show. Vir Stock is Soaring.                          ",2021-12-02 08:42:00
165,"                                                           U.S. to tighten testing requirements for travelers in light of omicron variant, and analysts expected limited authorization of Merck antiviral                          ",2021-12-02 07:52:00
166,"                                                           Pfizer Inc. stock rises Wednesday, outperforms market                          ",2021-12-01 17:15:00
167,                                                           Moderna Stock Tanks After Losing a Patent Dispute. Here’s What Comes Next.                          ,2021-12-01 11:58:00
168,                                                           FDA Advisors Vote Narrowly in Favor of Merck Covid Pill                          ,2021-12-01 08:33:00
169,                                                           Pfizer Inc. stock outperforms competitors on strong trading day                          ,2021-11-30 17:15:00
170,                                                           Stocks Had Another Ugly Day. They Couldn’t Shake Off Omicron—or Powell.                          ,2021-11-30 16:20:00
171,"Pfizer stock rises 3.1%, to pace just the 17 of the S&P 500’s components that are gaining ground",2021-11-30 13:06:00
172,"                                                           Omicron variant unlikely to cause severe illness in vaccinated people, BioNTech founder says                          ",2021-11-30 11:00:00
173,                                                           Pfizer and BioNTech to Seek Covid Booster Approval for 16- and 17-Year-Olds                          ,2021-11-30 10:52:00
174,                                                           Stock Market Jitters Continue Over Omicron. Why It’s Too Early to Panic.                          ,2021-11-30 09:57:00
175,Pfizer’s stock jumps 2.1% to pace the S&P 500 gainers,2021-11-30 09:51:00
176,                                                           Merck’s Covid Pill Gets an FDA Hearing. What’s at Stake for the Stock.                          ,2021-11-30 08:28:00
177,                                                           FDA may OK COVID boosters for 16- and 17-year-olds as soon as next week                          ,2021-11-29 20:52:00
178,                                                           Confused about whether to get a COVID booster? Here’s what to know                          ,2021-11-29 18:52:00
179,"                                                           Vaccine Stocks Could Win Now, Lose Later, From the Omicron Variant                          ",2021-11-29 11:07:00
300,                                                           Pfizer Inc. stock underperforms Monday when compared to competitors                          ,2021-11-29 17:15:00
301,                                                           3 Reasons the Stock Market Isn’t That Worried About Omicron                          ,2021-11-29 16:57:00
302,                                                           Merck stock dives after Citi downgrades on ‘high probability’ that HIV treatment will be abandoned                          ,2021-11-29 15:08:00
303,                                                           Biden Says Administration Working With Vaccine Manufacturers on Contingency Plans to Combat New Variant                          ,2021-11-29 12:36:00
304,                                                           Visa and Mastercard Stocks Are Ailing as Omicron Hits Travel                          ,2021-11-29 12:36:00
305,                                                           Hedge-fund investor who made $2.6 billion on pandemic trades says omicron could be bullish for stock market                          ,2021-11-29 10:02:00
306,"                                                           Here’s what the Black Friday carnage may mean for the stock market’s trade Monday, analysts say                          ",2021-11-29 08:24:00
307,Pfizer stock price target raised to $53 from $42 at J.P. Morgan,2021-11-29 06:48:00
308,                                                           WHO warns world leaders against knee-jerk reaction to coronavirus variant from South Africa as U.K. and EU impose travel bans                          ,2021-11-29 06:40:00
309,                                                           More omicron cases pop up as world scrambles to learn more about latest COVID strain                          ,2021-11-28 23:38:00
310,"                                                           Vaccine Makers, Countries Rush to Fight Off New Covid Strain. The Latest News on Omicron.                          ",2021-11-28 15:53:00
311,                                                           Why You Shouldn’t Panic About the New Covid Variant                          ,2021-11-28 14:15:00
312,"                                                           What to Know About Omicron, a New Covid Variant of Concern                          ",2021-11-27 11:27:00
313,                                                           Covid Shows It Can Still Rock Markets. What Has Changed for Investors.                          ,2021-11-26 18:44:00
314,                                                           Covid Testing Company Says PCR Tests Are Effective Against New Covid Variant                          ,2021-11-26 17:32:00
315,                                                           Moderna to 'rapidly advance' omicron-specific COVID-19 booster candidate                          ,2021-11-26 15:56:02
316,                                                           A New Covid Variant Is Triggering Travel Restrictions Worldwide. What to Know.                          ,2021-11-26 14:42:00
317,"                                                           ADRs Close Lower; BioNTech Rises, Carnival Drops                          ",2021-11-26 13:36:00
318,                                                           Travel stocks slump and vaccine maker stocks rally as WHO names new ‘variant of concern’                          ,2021-11-26 12:21:00
319,                                                           Covid-19 Vaccine Maker Stocks Higher Amid Variant Concerns                          ,2021-11-26 11:51:00
480,                                                           U.K.-listed travel stocks slump to worst level since day that Pfizer announced its vaccine worked                          ,2021-11-26 08:25:00
481,                                                           Drug maker stocks rise but travel stocks sink on new coronavirus variant                          ,2021-11-26 07:31:31
482,Pfizer stock jump 5.8% premarket,2021-11-26 07:07:53
483,"                                                           Fauci’s guidance for Thanksgiving: ‘Among vaccinated people, enjoy the holiday’                          ",2021-11-25 10:56:00
484,                                                           EU regulator authorizes Pfizer’s COVID vaccine for kids 5-11 as infections sweep region                          ,2021-11-25 07:07:00
485,"                                                           Pfizer Inc. stock falls Wednesday, underperforms market                          ",2021-11-24 17:15:00
486,"                                                           U.S. has already seen more COVID deaths in 2021 than 2020 before vaccines were available, as experts again warn pandemic is not over                          ",2021-11-24 12:48:00
487,                                                           Johnson & Johnson COVID vaccine wins full approval in Canada in first major regulatory nod                          ,2021-11-24 08:03:02
488,Pfizer stock price target raised to $58 from $43 at Truist,2021-11-24 07:16:00
489,                                                           Ionis Pharma: Clinical Study of Vupanorsen Meets Primary Endpoint                          ,2021-11-24 06:59:00
490,"                                                           WHO warns Europe COVID death toll could exceed 2.2 million by March, and U.S. warns against travel to Germany and Denmark                          ",2021-11-24 06:32:00
491,"                                                           Pfizer Inc. stock falls Tuesday, underperforms market                          ",2021-11-23 17:15:00
492,"                                                           Covid-19 Vaccine and Pills Will Push Pfizer’s Revenue Above $100B Next Year, Analyst Says                          ",2021-11-23 09:13:00
493,                                                           Pfizer Inc. stock outperforms market on strong trading day                          ,2021-11-22 17:15:00
494,                                                           Pfizer and BioNTech say late-stage trial shows vaccine effective for 12- to 15-year-olds                          ,2021-11-22 07:13:37
495,Follow up data from Phase III trial of Pfizer-BioNTech COVID-19 vaccine support safety in kids 12-15,2021-11-22 06:59:37
496,"                                                           Pfizer, BioNTech Data Shows Covid-19 Vaccine Effective in Young Teens                          ",2021-11-22 06:59:00
497,"                                                           Pills to treat COVID-19 will be game-changers, but the best strategy remains prevention                          ",2021-11-20 13:23:00
498,                                                           CDC recommends COVID-19 vaccine booster shots for all adults                          ,2021-11-19 18:29:00
499,"                                                           ADRs Close Mostly Lower, RedHill Biopharma Closes at Record Low                          ",2021-11-19 17:37:00
700,"                                                           Pfizer Inc. stock falls Friday, underperforms market                          ",2021-11-19 17:15:00
701,                                                           CDC Advisory Panel Backs Pfizer and Moderna Boosters for All Adults                          ,2021-11-19 16:06:00
702,"                                                           COVID-19 booster shots get FDA OK, as U.S.’s daily death toll holds above 1,000 and cases rise to 6-week high                          ",2021-11-19 16:03:00
703,                                                           Canada Authorizes Use of Pfizer-BioNTech Covid-19 Vaccine on Children                          ,2021-11-19 11:49:00
704,                                                           Canada Authorizes Use of Pfizer-BioNTech Covid-19 Vaccine on Children                          ,2021-11-19 10:03:00
705,"                                                           Pfizer, BioNTech COVID-19 vaccine authorized in Canada for children 5 to 11 years of age                          ",2021-11-19 10:00:22
706,"Pfizer, BioNTech COVID-19 vaccine authorized for use in Canada in children 5 to 11 years old",2021-11-19 09:50:00
707,                                                           FDA Authorizes Pfizer and Moderna Covid-19 Vaccine Boosters for All Adults                          ,2021-11-19 09:26:00
708,"                                                           Moderna, Pfizer, BioNTech Up After FDA Extends EUAs of Covid-19 Vaccines                          ",2021-11-19 09:13:00
709,Pfizer started at outperform with $60 stock price target at BMO Capital,2021-11-19 08:52:00
710,                                                           U.S. to make COVID-19 booster shots available to anyone 18 or older                          ,2021-11-19 08:39:00
711,                                                           BioNTech Gets FDA Fast-Track Designation for BNT111 in Advanced Melanoma                          ,2021-11-19 06:44:00
712,                                                           Pfizer Inc. stock outperforms market on strong trading day                          ,2021-11-18 17:15:00
713,                                                           Canada to Authorize Use of Pfizer-BioNTech Covid-19 Vaccine on Children -- Source                          ,2021-11-18 16:10:00
714,"                                                           Face masks and distancing are most effective measures in reducing COVID-19 spread, study finds, as experts clamor for U.S. to expand booster program                          ",2021-11-18 14:57:00
715,                                                           Pfizer CEO Talks About Covid Vaccines and What Comes Next: ‘I Think We Are Undervalued.’                          ,2021-11-18 14:26:00
716,                                                           Pfizer to Be Paid $5.29 Billion From U.S. Government for Covid-19 Oral Pill                          ,2021-11-18 10:11:00
717,                                                           Pfizer to supply U.S. government with 10 million doses of its antiviral for $5.29 billion                          ,2021-11-18 09:08:19
718,                                                           CureVac Stock Climbs as Early Data Show Hope for Second Try at Covid Vaccine                          ,2021-11-18 08:20:00
719,                                                           Nvidia Earnings Are a Big Deal. But There’s Something More Important.                          ,2021-11-17 06:30:00
960,Pfizer to receive $5.29 bln from US government assuming treatment is authorized,2021-11-18 06:56:30
961,Pfizer agrees to supply US government with 10 mln treatments of its antiviral ,2021-11-18 06:56:05
962,"                                                           Europe is the only region where COVID-19 deaths rose in the latest week, as U.S. embarks on effort to greatly boost vaccine manufacturing                          ",2021-11-18 06:13:00
963,                                                           Pfizer Inc. stock outperforms competitors on strong trading day                          ,2021-11-17 17:15:00
964,                                                           Viatris’s CEO Sees a Unique Drug Business. The Stock Fell 12.5% in Its First Year.                          ,2021-11-17 14:27:00
965,                                                           Pfizer launches search for new CFO as Frank D'Amelio announces his retirement                          ,2021-11-17 10:57:20
966,                                                           Glaxo and Vir Report $1 Billion Sale of Covid-19 Antibody. The U.S. Is Still Buying.                          ,2021-11-17 09:30:00
967,"                                                           Pfizer and Moderna announce moves to help get vital COVID medicines to low-income countries, and Arkansas joins U.S. states expanding booster program to all adults                          ",2021-11-17 08:23:00
968,                                                           Pfizer Chief Financial Officer Frank D'Amelio to Retire >PFE                          ,2021-11-17 06:59:00
969,                                                           Coronavirus tally: Global cases of COVID-19 above 254.5 million and FDA may authorize boosters for all adults by Thursday                          ,2021-11-17 06:47:32
970,                                                           Regulators closer to approving COVID booster for all adults                          ,2021-11-16 18:44:00
971,"                                                           Pfizer Inc. stock falls Tuesday, underperforms market                          ",2021-11-16 17:15:00
972,                                                           Pfizer files for U.S. regulatory authorization of its COVID pill                          ,2021-11-16 14:34:00
973,                                                           Pfizer Signs Royalty-Free Deal to Aid Poor Nations’ Access to Its Covid Pill                          ,2021-11-16 09:18:00
974,"                                                           UPDATE: Pfizer to allow generics companies to make its COVID-19 oral antiviral treatment, expand access to poorer countries                          ",2021-11-16 07:20:03
975,Pfizer said deal is aimed at getting the antiviral to low and middle-income countries,2021-11-16 06:54:56
976,Pfizer announces licensing deal to allow its COVID oral antiviral to be made by generics companies,2021-11-16 06:54:25
977,                                                           Biden’s Inflation Solution May Be Staring Him in the Face—China                          ,2021-11-16 06:42:00
978,                                                           Pfizer Inc. stock outperforms competitors despite losses on the day                          ,2021-11-15 17:15:00
979,                                                           Covid Cases Are Rising Again. Booster Rollout Could Expand as a Result.                          ,2021-11-15 12:05:00
1260,                                                           Moderna's COVID-19 vaccine boosters OK's by Health Canada                          ,2021-11-15 09:50:31
1261,                                                           Pfizer’s Big Gamble Is Paying Off. Its Stock Is a Good Long-Term Bet.                          ,2021-11-14 22:03:00
1262,                                                           Will Johnson & Johnson’s Split Pay Off? History Says No.                          ,2021-11-14 21:36:00
1263,                                                           ‘Now is not the time for happy talk’: Experts warn the pandemic is far from over and urge people to combine vaccines with face masks and other measures                          ,2021-11-13 14:08:00
1264,"                                                           Shell’s Pension Dropped Alibaba, Sold Pfizer, J&J, and Merck Stock                          ",2021-11-13 07:00:00
1265,"                                                           Pfizer Inc. stock falls Friday, underperforms market                          ",2021-11-12 17:15:00
1266,                                                           Johnson & Johnson Stock Is Gaining Because 2 Companies Might Make More Sense Than 1                          ,2021-11-12 11:03:00
1267,                                                           Moderna Stock Falls Back to Earth as Questions Mount                          ,2021-11-11 17:16:00
1268,                                                           Pfizer Inc. stock outperforms competitors on strong trading day                          ,2021-11-11 17:15:00
1269,                                                           Pfizer Inc. stock outperforms market on strong trading day                          ,2021-11-10 17:15:00
1270,"                                                           White House says 900,000 5- to 11-year-olds were vaccinated during first week of eligibility for scaled-down dose                          ",2021-11-10 10:31:00
1271,"                                                           Pfizer and BioNTech seek backing of COVID-19 booster for those 18 and over, as U.S. deaths continue to average 1,200 a day                          ",2021-11-10 07:20:00
1272,                                                           Pfizer and BioNTech Ask FDA to Authorize Covid Booster Shots for All Adults                          ,2021-11-09 19:21:00
1273,"                                                           ADRs End Lower; BioNTech, Nio Among Companies Actively Trading                          ",2021-11-09 18:36:00
1274,"                                                           Pfizer Inc. stock falls Tuesday, underperforms market                          ",2021-11-09 17:15:00
1275,                                                           Pfizer asks FDA to authorize COVID-19 booster shot for all adults                          ,2021-11-09 15:17:18
1276,Pfizer and BioNTech ask FDA for emergency use authorization for COVID booster for adults aged 18 and older,2021-11-09 14:59:08
1277,                                                           Terry Bradshaw blasts Aaron Rodgers over vaccine status: ‘You lied to everyone’                          ,2021-11-09 13:00:00
1278,                                                           Health Canada Approves Pfizer Booster Dose                          ,2021-11-09 11:46:00
1279,"                                                           BioNTech stock reverses lower after earnings report, in which profit and revenue beat expectations                          ",2021-11-09 11:12:54
1600,                                                           Pfizer to seek authorization of COVID-19 pill ‘as soon as possible’                          ,2021-11-09 09:00:00
1601,                                                           BioNTech Stock Is Getting a Lift. Earnings Were Strong.                          ,2021-11-09 08:44:00
1602,"                                                           Biohaven, Pfizer in Collaboration to Commercialize Rimegepant                          ",2021-11-09 08:17:00
1603,                                                           Biohaven's stock slides 15% on deal with Pfizer for its migraine drug                          ,2021-11-09 08:07:12
1604,                                                           BioNTech Lifts 2021 Covid-19 Vaccine Revenue Outlook to Up to Almost $20 Billion                          ,2021-11-09 07:43:00
1605,                                                           Merck stock rallies after U.S. plans to buy 1.4 million more COVID-19 pill courses for $1 billion if authorized                          ,2021-11-09 06:14:47
1606,"                                                           Pfizer Inc. stock falls Monday, underperforms market                          ",2021-11-08 17:15:00
1607,"                                                           S&P 500 ends at record for 8th day in a row, the longest streak of records since 1997, on renewed optimism                          ",2021-11-08 16:52:00
1608,                                                           Benchmark 10-year Treasury rate logs largest rise in 3 weeks but holds around 1.50%                          ,2021-11-08 16:07:00
1609,                                                           Regeneron’s Covid Drug Could Be an Alternative to Vaccines                          ,2021-11-08 10:49:00
1610,"                                                           Infrastructure, Jobs & Covid Relief                          ",2021-11-08 08:00:00
1611,                                                           Good Jobs Report Points to Continued Good Times for Stocks                          ,2021-11-07 14:00:00
1612,                                                           Moderna cites supply-chain ‘complexity’ as COVID-19 vaccine sales come in $1 billion short                          ,2021-11-07 08:40:00
1613,                                                           How Long Will the Stock Market Rally? At Least Until New Year’s.                          ,2021-11-06 14:35:00
1614,"                                                           ADRs End Mixed; BioNTech, IAG Among Companies Actively Trading                          ",2021-11-05 18:49:00
1615,                                                           Pfizer Inc. stock outperforms market on strong trading day                          ,2021-11-05 17:15:00
1616,"                                                           Dow, S&P 500, Nasdaq end at record highs, extending streak of weekly gains on Pfizer pill study, stronger-than-expected jobs report                          ",2021-11-05 16:37:00
1617,"                                                           Pfizer’s positive antiviral news raises hopes for a new easy-to-take treatment for COVID-19, and cases start to rise again in California                          ",2021-11-05 13:16:00
1618,                                                           Merck stock's biggest selloff in nearly 17 years is cutting close to 60 points off the Dow's price                          ,2021-11-05 11:58:15
1619,"                                                           Pfizer Stock Is Soaring Because Its Covid Antiviral Appears to Work Really, Really Well                          ",2021-11-05 09:19:00
1980,"                                                           U.S. has 'secured millions of doses' of Pfizer's promising new COVID antiviral, Biden says                          ",2021-11-05 11:33:07
1981,"                                                           Ocugen Seeks Emergency OK for Covid-19 Vaccine for Children, Lifting Shares Premarket                          ",2021-11-05 08:57:00
1982,                                                           Here’s the factor that mattered most to driving stocks — and it sure wasn’t interest rates                          ,2021-11-05 08:40:00
1983,"                                                           WHO warns Europe could see 500,000 more COVID-19 deaths by February amid uneven vaccine take-up, and U.S. starts to give kids as young as 5 their shots                          ",2021-11-05 07:49:00
1984,                                                           Merck shares slide premarket as Pfizer soars on data from trial of rival COVID-19 antiviral treatment                          ,2021-11-05 07:28:33
1985,                                                           Pfizer shares soar after data finds COVID antiviral reduced risk of death or hospitalization by 89% in high-risk adults                          ,2021-11-05 07:00:00
1986,Pfizer shares jump 8% premarket,2021-11-05 06:48:25
1987,Pfizer says it will submit data to FDA as part of rolling submission for EUA as soon as possible,2021-11-05 06:48:05
1988,Pfizer says COVID-19 antiviral reduced risk of hospitalization or death by 89% in Phase 2/3 study,2021-11-05 06:47:27
1989,"                                                           Pfizer Inc. stock falls Thursday, underperforms market                          ",2021-11-04 17:21:00
1990,                                                           U.S. Covid-19 Vaccine Mandates Have a January Deadline. What to Know.                          ,2021-11-04 11:43:00
1991,                                                           Can kids 5-11 get a flu shot and Pfizer’s COVID-19 vaccine at the same time? Here’s what doctors say                          ,2021-11-04 11:12:00
1992,"                                                           CDC decision to vaccinate children cheered by parents, and Colorado hospitals are being forced to redirect patients                          ",2021-11-04 08:10:00
1993,                                                           Moderna’s Sales Miss Forecasts by 20%. Pfizer Is Taking the U.S. Vaccine Market.                          ,2021-11-04 08:03:00
1994,"                                                           After Tame Taper, Powell Shifts Focus Back to Jobs Market                          ",2021-11-04 06:35:00
1995,                                                           Want your kids vaccinated for holiday travel? Here’s a timeline                          ,2021-11-04 05:00:00
1996,                                                           COVID vaccinations for kids begin in California with toys and gifts                          ,2021-11-03 17:37:00
1997,                                                           Pfizer Inc. stock underperforms Wednesday when compared to competitors                          ,2021-11-03 17:15:00
1998,"                                                           'Get your children vaccinated,' Biden urges after shots for kids 5-11 approved                            ",2021-11-03 16:24:16
1999,"                                                           Kids’ Vaccination Campaign Is Starting in U.S., With 28 Million Eligible                          ",2021-11-03 08:56:00
2400,                                                           Powell Will Have a Tough Time Reeling in the Market’s Rate-Hike Expectations                          ,2021-11-03 06:30:00
2401,                                                           Covid Vaccines for Children Are Here. What to Know.                          ,2021-11-03 00:01:00
2402,                                                           CDC gives final approval for Pfizer’s COVID shot for kids 5-11                          ,2021-11-02 20:39:00
2403,                                                           CDC Recommends Pfizer Covid Vaccine for Kids 5 to 11                          ,2021-11-02 20:11:00
2404,"                                                           ADRs End Lower; BioNTech, BP Among Companies Actively Trading                          ",2021-11-02 19:18:00
2405,"                                                           Democrats Reach Deal on Drug Prices, Schumer Says. Pharma Stocks Are Steady.                          ",2021-11-02 18:22:00
2406,"                                                           Pfizer Inc. stock rises Tuesday, outperforms market                          ",2021-11-02 17:15:00
2407,                                                           Pfizer CEO Says Poor Countries Need to Order Covid Vaccines Earlier                          ,2021-11-02 16:16:00
2408,                                                           Pfizer Stock Charges Higher as Drug Maker Boosts 2021 Guidance                          ,2021-11-02 09:29:00
2409,                                                           What to expect from Tuesday’s CDC meeting about BioNTech and Pfizer’s COVID-19 shots for young children                          ,2021-11-02 07:53:00
2410,"                                                           Pfizer shares jump 2.5% premarket as earnings beat, company raises guidance                           ",2021-11-02 07:00:24
2411,Pfizer shares jump 1.8% premarket,2021-11-02 06:51:38
2412,Pfizer now sees full-year adj. EPS of $4.13 to $4.18 vs. prior $3.94 to $4.05,2021-11-02 06:51:17
2413,Pfizer now sees full-year revenue of $81.0 bln to $82.0 bln vs. prior $78.0 bln to $80.0 bln,2021-11-02 06:50:53
2414,Pfizer expects 2021 sales of COVID vaccine to come to about $36 bln ,2021-11-02 06:49:55
2415,Pfizer CEO says still on track to deliver at least 1 bln COVID vaccine doses this year and 1 bln next year,2021-11-02 06:49:04
2416,Pfizer Q3 revenue $24.094 bln vs. $10.277 bln a year ago; FactSet consensus $22.576 bln,2021-11-02 06:48:20
2417,Pfizer Q3 adj. EPS $1.34; FactSet consensus $1.08,2021-11-02 06:48:00
2418,Pfizer Q3 EPS $1.42 vs. 26 cents a year ago,2021-11-02 06:47:48
2419,                                                           The CDC Meets Today on Kids’ Covid Vaccines. What to Know.                          ,2021-11-01 08:27:00
2860,"                                                           Global death toll from COVID-19 tops 5 million, as parents in the U.S. await next moves on vaccines for children                          ",2021-11-02 06:24:00
2861,                                                           Pfizer Inc. stock underperforms Monday when compared to competitors                          ,2021-11-01 17:15:00
2862,                                                           Major U.S. stock indexes finish at records as investors await this week’s Fed meeting                          ,2021-11-01 16:37:00
2863,                                                           The Dow Rises to a Record High—and What Else Is Happening in the Stock Market Today                          ,2021-11-01 16:15:00
2864,                                                           How much is Big Pharma making from COVID-19 vaccines? We’re about to find out                          ,2021-11-01 11:35:00
2865,                                                           Novavax’s Covid Vaccine Gets Its First Authorization—and More Could Come Soon                          ,2021-11-01 10:49:00
2866,                                                           Moderna to Delay Request for Approval of Covid Vaccine in Children After FDA Asks for More Time                          ,2021-11-01 08:13:00
2867,"                                                           Uber, T-Mobile, Pfizer, Ferrari, and Other Stocks to Watch This Week                          ",2021-11-01 01:00:00
2868,                                                           Pfizer Inc. stock outperforms competitors on strong trading day                          ,2021-10-29 17:15:00
2869,                                                           FDA Authorizes  Covid-19 Vaccine for Children                          ,2021-10-29 16:22:00
2870,                                                           FDA authorizes the COVID-19 vaccine from Pfizer and BioNtech for kids 5 to 11                          ,2021-10-29 15:29:00
2871,"                                                           Pfizer Inc. stock rises Thursday, still underperforms market                          ",2021-10-28 17:15:00
2872,"                                                           Trump could have reduced COVID deaths by 30 to 40%, Birx says                          ",2021-10-28 13:46:00
2873,                                                           U.S. Buys 50 Million Child-Sized Pfizer Doses                          ,2021-10-28 10:16:00
2874,                                                           FDA advisors recommend BioNTech and Pfizer’s COVID-19 shot for children                          ,2021-10-28 09:04:00
2875,                                                           Merck Stock Is Gaining. Earnings Came in Strong.                          ,2021-10-28 08:28:00
2876,"                                                           U.S. moves closer to vaccinating young children, and WHO warns pandemic is ‘far from finished’                          ",2021-10-28 08:20:00
2877,                                                           Pfizer and BioNTech say U.S. government has purchased additional 50 million pediatric doses of their COVID vaccine                          ,2021-10-28 07:33:34
2878,Pfizer and BioNTech to provide US government with additional 50 mln pediatric doses of COVID-19 vaccine,2021-10-28 06:51:00
2879,                                                           Newsom touts boosters as California COVID cases stop falling                          ,2021-10-27 22:26:00
3360,                                                           Pfizer Inc. stock underperforms Wednesday when compared to competitors                          ,2021-10-27 17:15:00
3361,                                                           Novavax Stock Is Rising. Its Long-Delayed Vaccine Is Moving Ahead.                          ,2021-10-27 15:47:00
3362,                                                           Novavax is seeking authorization in the U.K. for its COVID-19 vaccine                          ,2021-10-27 08:47:34
3363,                                                           FDA Panel Backs Pfizer’s Covid Vaccine for Children 5 to 11                          ,2021-10-26 19:09:00
3364,                                                           Pfizer Inc. stock outperforms market on strong trading day                          ,2021-10-26 17:15:00
3365,"                                                           FDA committee meets on COVID-19 vaccines for young children, and White House outlines new rules for travelers to U.S.                          ",2021-10-26 14:49:00
3366,                                                           Switzerland Agency Approves Moderna and Pfizer/BioNTech Boosters                          ,2021-10-26 13:41:00
3367,"                                                           Fauci says U.S. is on track to start vaccinating kids aged 5 to 11 by November, as FDA advisers prepare to meet on the matter                          ",2021-10-26 08:26:00
