,Headline,Date,Description
14,The onetime Parisian street fighter who gave his company purpose,2020-02-09 05:00:28,"<span class=""o-teaser__tag-prefix"">Interview</span>"
13,Drugmakers braced for coronavirus disruption to China supplies ,2020-02-12 05:00:41,"<span>...Mylan and Teva Pharmaceutical would not comment on potential supply chain problems. <mark class=""search-item__highlight"">Pfizer</mark>, which has a significant generics business in Upjohn, said it was monitoring...</span>"
12,SoftBank’s got 99 problems but Sprint ain’t one,2020-02-13 05:15:27,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
11,Sanofi to spin off drug ingredient business by 2022,2020-02-24 18:03:15,"<span>...per cent rise for Merck and a 21 per cent rise for <mark class=""search-item__highlight"">Pfizer</mark>.
Since he took over, Sanofi shares have increased 17 per cent.
To...</span>"
10,Bob Iger: the legacy of Disney’s daring dealmaker,2020-02-27 05:00:33,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
9,SWF head says Norway now ‘an oil fund nation’,2020-02-27 13:20:38,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
31,Asset managers demand companies take action on gender diversity,2020-03-02 05:00:12,"<span>...fail to hit the 25 per cent hurdle include Comcast, PepsiCo and <mark class=""search-item__highlight"">Pfizer</mark>, according to ISS ESG, a division of Institutional Shareholder Services.Columbia Threadneedle...</span>"
30,Gilead buys cancer therapy specialist Forty Seven in $4.9bn deal,2020-03-02 15:46:22,"<span>...drugs. Early last year Bristol-Myers Squibb purchased Celgene for $93bn, while <mark class=""search-item__highlight"">Pfizer</mark> snapped up Array BioPharma for $11bn in June. Rivals Eli Lilly and...</span>"
29,How unlocking the secrets of African DNA could change the world,2020-03-05 05:00:31,"<span>...governmental organisations convened at the infectious disease hospital. Another team arrived from <mark class=""search-item__highlight"">Pfizer</mark>, the global pharmaceuticals company, which was in the late stages of testing...</span>"
28,Consumers boost shares of coronavirus essentials,2020-03-06 05:00:39,"<span>...on the stock market during the recent bout of volatility. Gilead and <mark class=""search-item__highlight"">Pfizer</mark> have gained on expectations they will help find a treatment.* Exchange operators...</span>"
27,Watchdog told to review evidence against Pfizer and Flynn,2020-03-10 22:49:16,"<span>Watchdog told to review evidence against <mark class=""search-item__highlight"">Pfizer</mark> and Flynn</span>"
26,Fosun and BioNTech launch $135m vaccine hunt for coronavirus,2020-03-16 17:19:56,"<span>...BioNTech is also in advanced talks to work on the coronavirus with <mark class=""search-item__highlight"">Pfizer</mark>, the US pharmaceutical company with which it is already collaborating on flu...</span>"
25,Ugur Sahin: the immunologist racing to find a vaccine,2020-03-20 17:52:23,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
24,Big companies raise record sums from bond market in dash for cash,2020-03-29 10:00:38,"<span>...The world’s highest-rated companies, including Warren Buffett’s Berkshire Hathaway, Disney and the drugmaker <mark class=""search-item__highlight"">Pfizer</mark>, have bolstered their ability to weather the economic...</span>"
23,FirstFT: Today’s top news,2020-03-30 09:53:28,"<span>...raised The world’s highest rated companies, including Berkshire Hathaway, Disney and <mark class=""search-item__highlight"">Pfizer</mark>, have raised hundreds of billions in debt, bolstering their ability to weather...</span>"
22,AstraZeneca: the right prescription,2020-03-30 14:20:23,"<span class=""o-teaser__tag-prefix"">Lex</span>"
21,J&J and Abbott flag potential vaccine and rapid test,2020-03-30 16:57:56,"<span>...for a vaccine, in January. Since then companies including Sanofi, GSK and <mark class=""search-item__highlight"">Pfizer</mark> have begun to compete — though none of them have yet tested their...</span>"
20,How China would rewire the internet,2020-03-30 18:05:05,"<span>...Citibank among its clients, for example, while rival Infosys provides services for <mark class=""search-item__highlight"">Pfizer</mark>.2. Space — the essential frontierBlue Origin, the space exploration company founded by...</span>"
40,Are we headed for a credit crisis? We answer your questions,2020-04-01 04:40:02,"<span class=""o-teaser__tag-prefix"">Q&amp;A</span>"
39,Will big tobacco save us from the coronavirus? ,2020-04-01 14:03:08,"<span>...those, BioNTech has been favoured by investors because it’s collaborating with <mark class=""search-item__highlight"">Pfizer</mark> and Fosun Pharma. BioNTech said during Q4 earnings on Tuesday that initial...</span>"
38,German vaccine makers urge regulators to ease rules for virus,2020-04-03 11:09:31,"<span>...month, BioNTech announced a development and distribution partnership with US pharma giant <mark class=""search-item__highlight"">Pfizer</mark>, and a $135m investment from Shanghai-based Fosun, which will run parallel...</span>"
37,Bill Gates urges rich countries to fund coronavirus vaccine search,2020-04-09 04:01:00,"<span>...companies are racing to develop a Covid-19 vaccine, including Sanofi, GSK, <mark class=""search-item__highlight"">Pfizer</mark> and British American Tobacco. German biotech groups BioNTech and CureVac are also...</span>"
36,J&J lifts dividend but cuts 2020 guidance on coronavirus uncertainty,2020-04-14 12:53:59,"<span>...the race to develop the first Covid-19 vaccine include GlaxoSmithKline, Sanofi, <mark class=""search-item__highlight"">Pfizer</mark> and Boston-based biotech Moderna. Research for a treatment has focused on...</span>"
35,Germany approves Covid-19 vaccine trial,2020-04-22 10:57:54,"<span>...rose by almost 45 per cent in pre-market trading.Pharma giant <mark class=""search-item__highlight"">Pfizer</mark>, which signed a development and distribution deal with BioNTech last month, will...</span>"
34,Best of Lex Midweek: Shibboleths and science,2020-04-22 13:21:20,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
33,"Lockdown eases, central banks, oil, pharma and tech earnings",2020-04-26 16:00:50,"<span>...into two, and AstraZeneca report on Wednesday.Investors will seek updates on <mark class=""search-item__highlight"">Pfizer</mark>’s deal with Mylan on Thursday, while AbbVie’s acquisition of Allergan...</span>"
32,FirstFT: Today’s top stories,2020-04-28 10:51:04,"<span>...today. Against the backdrop of the coronavirus pandemic, pharmaceutical groups Merck and <mark class=""search-item__highlight"">Pfizer</mark> update investors. Consumer goods group PepsiCo, which makes Doritos and Quaker Oats...</span>"
57,Wall Street closes higher after oil rally takes Brent over $30,2020-05-05 20:10:18,"<span>...healthcare sector was the top performer in the S&amp;P 500 after <mark class=""search-item__highlight"">Pfizer</mark> said it had begun human testing for a potential coronavirus vaccine, while...</span>"
56,US regulator clears AbbVie’s $63bn deal for Allergan,2020-05-06 00:35:56,"<span>...included Bristol-Myers-Squibb’s $74bn takeover of biotech group Celgene and <mark class=""search-item__highlight"">Pfizer</mark>’s $11.4bn acquisition of Array BioPharma.Dealmaking in the sector has...</span>"
55,South-east Asia rides fourth wave of regional growth,2020-05-11 03:01:44,"<span>...join the TPP that companies from Mastercard and Qualcomm to Exxon and <mark class=""search-item__highlight"">Pfizer</mark> have invested more in Asia. That is the only way they can...</span>"
54,Why vaccine ‘nationalism’ could slow coronavirus fight,2020-05-14 04:00:29,"<span>...are a collaboration between Germany’s BioNTech, China’s Fosun Pharma and <mark class=""search-item__highlight"">Pfizer</mark> of the US, and another between the University of Oxford and AstraZeneca...</span>"
53,Fund managers pile into $65bn Covid-19 bond market,2020-05-15 04:00:24,"<span>...China, which sold the first coronavirus-related bond in February, and drugmaker <mark class=""search-item__highlight"">Pfizer</mark>, which in late March issued $1.25bn in 10-year bonds designed...</span>"
52,AstraZeneca’s rise to the FTSE top spot feels like a sell signal,2020-05-16 03:00:09,"<span class=""o-teaser__tag-prefix"">Inside London</span>"
51,Drugmakers get hooked on data,2020-05-16 04:00:43,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
50,Saudi wealth fund snaps up $7.7bn of blue-chip stocks,2020-05-16 11:26:26,"<span>...also acquired shares in Facebook, Bank of America, Citigroup, Walt Disney, Marriott, <mark class=""search-item__highlight"">Pfizer</mark> and Starbucks, the filing showed. Some of the new holdings, including in...</span>"
49,Markets Now - Monday 18th May 2020,2020-05-18 11:59:06,"<span>...50 in discovery and preclinical. That an mRNA approach (also favoured by <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech) can produce antibodies is a decent proof of concept that...</span>"
48,Prostate cancer drugs: precisely done,2020-05-20 16:00:45,"<span class=""o-teaser__tag-prefix"">Lex</span>"
47,Markets Now - Thursday 21st May 2020,2020-05-21 11:04:55,"<span>...think filgotinib’s safety profile continues to look materially better relative to [<mark class=""search-item__highlight"">Pfizer</mark>’s] Xeljanz, which should support meaningful switching and uptake commercially over Xeljanz...</span>"
46,Scientists vs politicians: the reality check for ‘warp speed’ vaccine research ,2020-05-22 18:00:53,"<span>...that before the end of the year we could see vaccines from <mark class=""search-item__highlight"">Pfizer</mark> and their German partner BioNTech, and AstraZeneca and Oxford university. But advances...</span>"
45,Companies ditch commercial paper to lock in longer-term debt,2020-05-25 03:00:49,"<span>...over coronavirus took hold. Along with the two beverage giants, pharmaceutical group <mark class=""search-item__highlight"">Pfizer</mark>, theme park operator Walt Disney and cigarette maker Philip Morris International have...</span>"
44,Top-rated companies raise $1tn to fill ‘war chests’,2020-05-26 20:30:43,"<span>...of last year. AT&amp;T, cigarette maker Philip Morris International and drugmaker <mark class=""search-item__highlight"">Pfizer</mark> have also managed to lower their borrowing costs with recent debt issuance...</span>"
43,Drug wars: how AstraZeneca overtook GSK in UK pharma ,2020-05-27 04:00:44,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
42,The lessons and consequences of a failed megadeal,2020-05-28 04:00:31,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
41,Poorer countries join WHO call for virus patents to be shared,2020-05-29 16:07:05,"<span>...Federation of Pharmaceutical Manufacturers and Associations, a lobby group, chief executives from <mark class=""search-item__highlight"">Pfizer</mark>, GlaxoSmithKline and AstraZeneca, which are developing vaccines and treatments, all sought to...</span>"
60,Amazon secures record low borrowing costs  ,2020-06-01 22:49:38,"<span>...s new five-year bond matched a low set by the drugmaker <mark class=""search-item__highlight"">Pfizer</mark> in May, at 0.8 per cent.The company also issued 30...</span>"
59,Amazon: Prime rates,2020-06-02 17:24:32,"<span class=""o-teaser__tag-prefix"">Lex</span>"
58,Sanofi to build vaccine plant and research centre in France ,2020-06-16 11:46:26,"<span>...biotech group with an mRNA vaccine. Pharma groups such as Merck and <mark class=""search-item__highlight"">Pfizer</mark>, as well as Chinese players including Sinovac and Fosun, are all working...</span>"
11,BioNTech and Pfizer’s Covid-19 vaccine trial yields positive results,2020-07-01 13:19:20,"<span>BioNTech and <mark class=""search-item__highlight"">Pfizer</mark>’s Covid-19 vaccine trial yields positive results</span>"
10,US stocks edge higher after strong second-quarter rally,2020-07-01 20:57:06,"<span>...on Wednesday revealed. The clinical study was run with the pharmaceuticals group <mark class=""search-item__highlight"">Pfizer</mark> in the US. BioNTech shares reversed earlier gains to close down 3...</span>"
9,Markets Now - Thursday 2nd July 2020,2020-07-02 11:45:34,"<span>...about sentiment also have some interim top-line trial data out of <mark class=""search-item__highlight"">Pfizer</mark> partner BioNTech on Wednesday suggesting the most advanced of its four Covid...</span>"
8,"India recovery depends on controlling virus, warns Moody’s chairman",2020-07-05 00:30:45,"<span>...curve.Henry McKinnell, who previously served as chief executive of pharmaceutical company <mark class=""search-item__highlight"">Pfizer</mark> and a frequent visitor to India since the 1970s, said the surge...</span>"
7,Companies pause frantic fundraising to assess pandemic damage,2020-07-06 12:10:11,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
6,Novavax signs $1.6bn deal for virus vaccine funding from US,2020-07-07 10:17:34,"<span>...its vaccine candidate by January. Novavax joins big pharmaceutical companies Johnson &amp; Johnson, <mark class=""search-item__highlight"">Pfizer</mark>, Merck and AstraZeneca in Operation Warp Speed, a US health department project...</span>"
5,"GSK’s anti-HIV drug better at preventing infection, trial finds ",2020-07-07 13:00:47,"<span>...a company that is majority-owned by GSK and also backed by <mark class=""search-item__highlight"">Pfizer</mark> and Shionogi. Public health experts hope that large-scale use of PrEP...</span>"
4,Spain’s BBVA breaks ground by issuing risky ‘green’ debt ,2020-07-08 03:00:48,"<span>...slapping the label on investments that may not withstand scrutiny.US drugmaker <mark class=""search-item__highlight"">Pfizer</mark> recently attracted attention for issuing $1.25bn of green bonds ostensibly to...</span>"
3,"Facebook has caused ‘serious setbacks’ for civil rights, report finds",2020-07-08 15:18:02,"<span>...on its platform, with about 1,000 brands — including Unilever, Ford and <mark class=""search-item__highlight"">Pfizer</mark> — agreeing to pull ad spending for the month of July at least...</span>"
2,Moderna’s Covid-19 vaccine produces antibodies in early trial,2020-07-14 21:01:48,"<span>...to teach the immune system to detect the invader. Other companies including <mark class=""search-item__highlight"">Pfizer</mark> and its German partner BioNTech are also using this method, but a...</span>"
1,Markets Now - Wednesday 15th July 2020,2020-07-15 10:41:19,"<span>...US] election data is possible, but our base case is mid-November: <mark class=""search-item__highlight"">Pfizer</mark> has stated that it aspires to finish enrolling its study by the...</span>"
0,Scientists raise questions over lasting immunity from Covid-19 vaccine,2020-07-16 04:01:21,"<span>...seemed to induce a better response than the vaccine being developed by <mark class=""search-item__highlight"">Pfizer</mark> with BioNTech, Mr Raffat said. Both are using a novel technique called...</span>"
85,City Bulletin: UK races to secure vaccine treatments,2020-07-20 07:15:02,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
84,Coronavirus vaccines: top shots,2020-07-20 09:14:44,"<span class=""o-teaser__tag-prefix"">Lex</span>"
83,Britain signs up for 90m doses of German and French vaccines,2020-07-20 09:20:46,"<span>...a vaccine developed by Germany’s BioNTech with the US pharma giant <mark class=""search-item__highlight"">Pfizer</mark>, signing an agreement for 30m doses to be delivered during the next...</span>"
82,Oxford coronavirus vaccine shows promise in early trial,2020-07-20 16:09:48,"<span>...induced positive antibody responses, while the vaccines developed by CanSino Biologics and <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech also showed good signs of provoking a dual T-cell...</span>"
81,The race for a vaccine heats up,2020-07-20 17:14:06,"<span>...the first supplies of a new candidate from Germany’s BioNTech and <mark class=""search-item__highlight"">Pfizer</mark> of the US, and a separate vaccine from Valneva of France. It...</span>"
80,Trump says coronavirus will ‘get worse before it gets better’,2020-07-22 00:17:13,"<span>...anyone thought possible”. Earlier on Tuesday, executives from pharmaceutical companies, including AstraZeneca, <mark class=""search-item__highlight"">Pfizer</mark>, Moderna and Johnson &amp; Johnson testified before Congress about their vaccine efforts.The...</span>"
79,FirstFT: Today’s top stories,2020-07-22 11:40:26,"<span>...19 vaccine being developed by Germany’s BioNTech and US pharma giant <mark class=""search-item__highlight"">Pfizer</mark>. The US charged two Chinese hackers with targeting coronavirus research.Japan will...</span>"
78,US spends $2bn to secure Covid-19 vaccine,2020-07-22 11:47:26,"<span>...19 vaccine being developed by Germany’s BioNTech and US pharma giant <mark class=""search-item__highlight"">Pfizer</mark>, which will be distributed free of charge to American citizens.BioNTech announced...</span>"
77,"Lex Midweek Letter: innovate, accelerate, inoculate",2020-07-22 13:05:56,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
76,EU deal is ‘landmark moment’ for European integration,2020-07-22 17:14:48,"<span>...doses of the coronavirus vaccine in development from Germany’s BioNTech and <mark class=""search-item__highlight"">Pfizer</mark> of the US. It will be distributed free of charge to American...</span>"
75,Why medicines must be tested in the developing world,2020-07-23 09:00:13,"<span>...as a holiday postcard” compared with what really goes on. In 2011, <mark class=""search-item__highlight"">Pfizer</mark>, a US pharmaceutical company, set aside $35m to pay the families of...</span>"
74,FirstFT: Today’s top stories,2020-07-23 11:07:57,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
73,UK to launch its biggest flu vaccination programme ,2020-07-23 13:08:59,"<span>...one vaccine trials conducted by Moderna in the US, CanSino Biologics, and <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech have also shown encouraging signs of eliciting strong immune responses...</span>"
72,Rich country vaccine rush threatens supply security,2020-07-23 17:53:30,"<span>...a candidate developed by Germany’s BioNTech with the US pharma giant <mark class=""search-item__highlight"">Pfizer</mark>. Two days later, the US unveiled a deal to spend $1.95bn...</span>"
71,When will we have a Covid-19 vaccine? Live Q&A ,2020-07-24 00:04:01,"<span class=""o-teaser__tag-prefix"">Q&amp;A</span>"
70,"Fed policy meeting, US tech earnings, growth figures",2020-07-26 16:44:12,"<span>...with Chevron also set to swing to a loss.For the pharmas, <mark class=""search-item__highlight"">Pfizer</mark>, one of the runners in the race to develop a viable coronavirus...</span>"
69,Moderna begins first late-stage US trial of Covid vaccine,2020-07-27 23:53:44,"<span>...a North Carolina facility manufacturing vaccines being developed by another company, Novavax.<mark class=""search-item__highlight"">Pfizer</mark> and its German partner BioNTech also announced they wouldstart a hybrid phase...</span>"
68,FirstFT: Today’s top news ,2020-07-28 10:50:38,"<span>...be a 30,000-person trial for its experimental Covid-19 vaccine. <mark class=""search-item__highlight"">Pfizer</mark> and its German partner BioNTech also announced they would start a hybrid...</span>"
67,Pfizer chief says Trump price threats distract from vaccine progress,2020-07-28 16:34:35,"<span><mark class=""search-item__highlight"">Pfizer</mark> chief says Trump price threats distract from vaccine progress</span>"
66,Moderna pitches virus vaccine at about $50-$60 per course,2020-07-28 20:27:45,"<span>...$30 per dose — it appears to be higher than that agreed by <mark class=""search-item__highlight"">Pfizer</mark> and its German partner BioNTech last week in a pre-order deal...</span>"
65,"‘Silver bullet’ to beat Covid-19 unlikely, warns UK vaccine chief",2020-07-29 04:00:12,"<span>...sparked hopes that a lifetime vaccine might soon be found. Moderna and <mark class=""search-item__highlight"">Pfizer</mark>, with its partner BioNTech, both launched large late-stage trials in the...</span>"
64,UK strikes deal for 60m Covid-19 vaccine doses with Sanofi and GSK,2020-07-29 06:06:59,"<span>...as well as 30m doses from Germany’s BioNTech and US group <mark class=""search-item__highlight"">Pfizer</mark>. A further 60m doses will come from France’s Valneva, which is...</span>"
63,FirstFT: Today’s top news ,2020-07-29 11:15:51,"<span>...$25-$30 per dose — appears to be higher than that agreed by <mark class=""search-item__highlight"">Pfizer</mark> and its German partner BioNTech with the US government last week. It...</span>"
62,GlaxoSmithKline warns of hit to vaccines business,2020-07-29 16:32:42,"<span>...$60 per dose, higher than prices already disclosed for those being jointly developed by <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech, and by AstraZeneca and the University of Oxford....</span>"
61,J&J Covid-19 vaccine performs well in early tests,2020-07-30 11:35:00,"<span>...risk for pharmaceutical companies. Just this month, positive data from collaborations between <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech and AstraZeneca and the University of Oxford were disclosed to...</span>"
104,Alphabet locks in record-low borrowing costs in $10bn deal,2020-08-03 23:04:00,"<span>...far lower than the 0.8 per cent paid by Amazon and <mark class=""search-item__highlight"">Pfizer</mark> when they raised five-year debt in recent months. The average yield...</span>"
103,Covid-19 vaccine trials worry US minority communities,2020-08-04 04:00:03,"<span>...group, on Facebook. The person sitting at Moderna, or Janssen pharmaceuticals, or <mark class=""search-item__highlight"">Pfizer</mark>, they don’t know that,” he said. “The community knows that.” *This...</span>"
102,The line between private equity and plundering,2020-08-05 04:00:36,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
101,J&J strikes $1bn Covid-19 vaccine deal with US,2020-08-05 14:29:34,"<span>...competitors. Recent deals indicate a price of $19.50 a dose for <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech’s candidate, and a range of about $3 to $4...</span>"
100,Can lawyers loosen up in lockdown?,2020-08-07 03:01:48,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
99,Six leaders in legal expertise for post-pandemic era,2020-08-07 03:01:49,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
98,China’s military takes centre stage in Covid-19 vaccine race,2020-08-10 04:00:30,"<span>...and testing their own vaccines — including Boston-based Moderna; a partnership between <mark class=""search-item__highlight"">Pfizer</mark> and Germany’s BioNTech; another German group CureVac; and an AstraZeneca project...</span>"
97,US to buy 100m doses of Moderna’s potential Covid-19 vaccine for $1.5bn,2020-08-12 00:32:20,"<span>...comes after the US struck a similar agreement with Moderna’s rival <mark class=""search-item__highlight"">Pfizer</mark> to purchase 100m doses for a price of almost $2bn.Mr Trump...</span>"
96,UK secures another 90m doses of potential Covid-19 vaccines,2020-08-14 08:46:01,"<span>...other vaccines made by AstraZeneca, Sanofi with GlaxoSmithKline, Valneva and BioNTech with <mark class=""search-item__highlight"">Pfizer</mark>.Kate Bingham, chair of the government’s vaccines task force, said the...</span>"
95,Covid-19 vaccine hopefuls surge in stock market debuts,2020-08-14 09:25:48,"<span>...doses of the potential Covid-19 vaccine being developed by BioNTech and <mark class=""search-item__highlight"">Pfizer</mark>.Shares in CanSino, which closed at around Rmb393 on their first day...</span>"
94,FirstFT: Today’s top news ,2020-08-14 11:06:08,"<span>...between the White House and Germany’s BioNTech and US pharma giant <mark class=""search-item__highlight"">Pfizer</mark> at a cost of $1.95bn. Shares in Chinese vaccine developer CanSino...</span>"
93,CureVac vows ‘ethical margin’ on price of Covid-19 vaccine,2020-08-16 10:00:04,"<span>...No mRNA vaccine has been approved by regulators, though rivals Moderna and <mark class=""search-item__highlight"">Pfizer</mark>, along with the latter’s German partner BioNTech, are betting on it...</span>"
92,Rise in vitamin sales during pandemic a tonic for consumer goods groups,2020-08-17 03:00:54,"<span>...plans to spin off its consumer health business, a joint venture with <mark class=""search-item__highlight"">Pfizer</mark>, in the next two years, presenting one big potential acquisition target. Analysts...</span>"
91,ExxonMobil booted from the Dow after close to a century ,2020-08-24 23:34:05,"<span>...of three companies booted from the 30-strong index, along with drugmaker <mark class=""search-item__highlight"">Pfizer</mark>, to allow for a reshuffle prompted by Apple’s decision to split...</span>"
90,Trump considers fast-tracking UK Covid-19 vaccine before US election,2020-08-24 23:39:45,"<span>...be required for emergency authorisation in the US. US drugmakers Moderna and <mark class=""search-item__highlight"">Pfizer</mark>, which are also trialling vaccines, both plan to enrol 30,000 participants...</span>"
89,FirstFT: Today’s top stories,2020-08-25 10:35:12,"<span>...vaccines, with health experts saying vulnerable communities must be a priority. ExxonMobil, <mark class=""search-item__highlight"">Pfizer</mark> and Raytheon Technologies were booted from the Dow Jones blue-chip index...</span>"
88,Beware leaders’ rush to approve vaccines,2020-08-25 17:30:48,"<span class=""o-teaser__tag-prefix"">The FT View</span>"
87,Covid-19 vaccine makers lobby EU for legal protection ,2020-08-26 10:08:22,"<span>...drugmakers including AstraZeneca, GlaxoSmithKline, Janssen (which belongs to Johnson &amp; Johnson), Merck, Novavax, <mark class=""search-item__highlight"">Pfizer</mark>, Sanofi, Takeda, Abbott and CureVac. Several of these companies are in advanced...</span>"
86,Generic drug costs: a partial cure,2020-08-26 15:50:01,"<span class=""o-teaser__tag-prefix"">Lex</span>"
124,Bertelsmann enters the Simon & Schuster fray,2020-09-02 04:00:47,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
123,"Covid-19 vaccine delivery faces problems, warns DHL",2020-09-03 04:00:59,"<span>...during transportation, the report said. Moderna and a partnership between BioNTech and <mark class=""search-item__highlight"">Pfizer</mark> are developing mRNA vaccines. However, distribution is likely to become easier as...</span>"
122,Coronavirus vaccines: frozen out,2020-09-03 15:08:55,"<span class=""o-teaser__tag-prefix"">Lex</span>"
121,Pfizer boss warns on risk of fast-tracking vaccines,2020-09-03 17:03:19,"<span><mark class=""search-item__highlight"">Pfizer</mark> boss warns on risk of fast-tracking vaccines</span>"
120,FirstFT: Today’s top stories,2020-09-04 10:21:01,"<span>...toll on one of Asia’s poorest countries.The chief executive of <mark class=""search-item__highlight"">Pfizer</mark> has warned about the reputational risks of fast-tracking a Covid-19...</span>"
119,"Best of Lex: storms, shots and shorts",2020-09-04 13:25:34,"<span class=""o-teaser__tag-prefix"">Lex</span>"
118,Cancer vaccines: not such a long shot,2020-09-07 10:49:47,"<span class=""o-teaser__tag-prefix"">Lex</span>"
117,Trump and Biden accuse each other of politicising Covid-19 vaccine,2020-09-07 19:38:49,"<span>...he had recently spoken to the chief executives of J&amp;J and <mark class=""search-item__highlight"">Pfizer</mark>, pharmaceutical companies developing Covid-19 vaccines, and suggested that a vaccine could...</span>"
116,Markets Now - Wednesday 9th September,2020-09-09 11:17:39,"<span>...discuss COVID-19 vaccines on October 22.What Does This Mean for <mark class=""search-item__highlight"">Pfizer</mark>’s Vaccine? Potentially Nothing, Potentially an Incremental Positive. It’s too early...</span>"
115,AstraZeneca’s Covid trial pause a reminder of huge challenges in race for vaccines,2020-09-09 18:05:08,"<span>...inserted directly in human cells. US biotech Moderna and the partnership between <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech are taking this approach for their vaccines and, along with...</span>"
